                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.482,                 2.4693,                 1.1426,                0.38202,                0.34427,                0.21349,                0.13165,                 1.4358,                 1.4941,                 1.0884,             0.00019481,             0.00019481,             0.00019481
                      2,                 1.3545,                  1.458,                 1.0717,                0.38684,                0.38598,                0.30843,                0.19877,                 1.3894,                 1.2873,                 1.0771,             0.00038759,             0.00038759,             0.00038759
                      3,                 1.3074,                 1.2811,                 1.0576,                0.43481,                0.38953,                 0.3333,                0.21295,                 1.3689,                 1.1832,                  1.082,             0.00057713,             0.00057713,             0.00057713
                      4,                 1.2756,                 1.1849,                 1.0492,                0.35791,                0.44019,                0.34599,                0.22671,                 1.3571,                 1.1504,                 1.0752,             0.00057345,             0.00057345,             0.00057345
                      5,                 1.2612,                  1.086,                 1.0444,                0.37498,                 0.4763,                0.38494,                0.25075,                 1.3483,                 1.1078,                 1.0747,              0.0005686,              0.0005686,              0.0005686
                      6,                 1.2383,                 1.0299,                 1.0376,                0.38945,                0.44952,                0.36762,                0.23913,                 1.3539,                 1.1863,                 1.0702,             0.00056374,             0.00056374,             0.00056374
                      7,                 1.2202,                 0.9814,                  1.033,                0.38001,                0.46957,                0.38008,                 0.2527,                 1.3253,                 1.1719,                 1.0748,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.1938,                0.92853,                 1.0251,                 0.3964,                0.49848,                0.37572,                 0.2497,                 1.3275,                 1.1876,                 1.0764,             0.00055404,             0.00055404,             0.00055404
                      9,                 1.1894,                0.89794,                 1.0259,                0.43004,                0.50971,                0.39699,                0.26658,                 1.3133,                 1.1304,                 1.0638,             0.00054919,             0.00054919,             0.00054919
                     10,                 1.1889,                0.88004,                 1.0247,                0.44077,                0.50973,                0.40855,                0.27524,                 1.3292,                 1.1363,                 1.0681,             0.00054434,             0.00054434,             0.00054434
                     11,                 1.1921,                0.85402,                  1.023,                0.48467,                0.49345,                0.42244,                0.28674,                 1.3475,                  1.122,                 1.0715,             0.00053949,             0.00053949,             0.00053949
                     12,                 1.1655,                0.82977,                 1.0176,                0.44675,                0.54377,                0.41283,                 0.2774,                 1.3616,                 1.1809,                 1.0757,             0.00053464,             0.00053464,             0.00053464
                     13,                 1.1594,                0.80666,                 1.0154,                0.45568,                0.48116,                0.40123,                0.27381,                 1.3059,                 1.1671,                 1.0656,             0.00052979,             0.00052979,             0.00052979
                     14,                 1.1528,                0.79805,                 1.0125,                0.44604,                0.54864,                0.41128,                 0.2774,                  1.287,                 1.0986,                 1.0665,             0.00052494,             0.00052494,             0.00052494
                     15,                 1.1465,                0.78451,                 1.0107,                0.47594,                0.53074,                0.41697,                0.28485,                 1.2835,                 1.0924,                 1.0658,             0.00052009,             0.00052009,             0.00052009
                     16,                 1.1429,                0.76743,                 1.0094,                 0.4829,                0.52747,                0.40192,                 0.2745,                 1.2901,                 1.2202,                 1.0582,             0.00051523,             0.00051523,             0.00051523
                     17,                 1.1377,                0.76085,                 1.0084,                 0.4491,                0.56351,                0.41725,                0.28515,                 1.2912,                 1.1351,                 1.0667,             0.00051038,             0.00051038,             0.00051038
                     18,                 1.1285,                0.74287,                 1.0047,                0.47816,                0.54841,                0.41438,                0.28715,                 1.2728,                 1.1037,                 1.0629,             0.00050553,             0.00050553,             0.00050553
                     19,                   1.13,                0.73481,                 1.0046,                 0.4466,                0.53496,                0.39947,                0.27236,                 1.2699,                 1.1767,                 1.0571,             0.00050068,             0.00050068,             0.00050068
